distance,x,y,Bed_meters
0.000000000000000,-354945.037404533184599,-1526348.371664416044950,-519.804199218750000
50.000000000000000,-354983.735269493365195,-1526380.033553928835317,-519.804199218750000
100.000000000000000,-355022.433134453429375,-1526411.695443441858515,-519.804199218750000
150.000000000000000,-355061.130999413668178,-1526443.357332954648882,-530.532897949218750
200.000000000000000,-355099.828864373790566,-1526475.019222467439249,-523.919738769531250
250.000000000000000,-355138.526729333971161,-1526506.681111980462447,-523.919738769531250
300.000000000000000,-355177.224594294151757,-1526538.343001493252814,-523.919738769531250
350.000000000000000,-355215.922459254274145,-1526570.004891006043181,-534.306884765625000
400.000000000000000,-355254.620324214454740,-1526601.666780518833548,-521.119689941406250
450.000000000000000,-355293.318189174635336,-1526633.328670031856745,-521.119689941406250
500.000000000000000,-355332.016054134757724,-1526664.990559544879943,-521.119689941406250
550.000000000000000,-355370.408899391535670,-1526697.018831250024959,-521.119689941406250
600.000000000000000,-355408.561182996840216,-1526729.336059715831652,-522.102111816406250
650.000000000000000,-355446.713466602086555,-1526761.653288181405514,-522.102111816406250
700.000000000000000,-355484.865750207391102,-1526793.970516647212207,-522.102111816406250
750.000000000000000,-355523.018033812695649,-1526826.287745112786070,-522.102111816406250
800.000000000000000,-355561.170317418000195,-1526858.604973578359932,-505.714324951171932
850.000000000000000,-355599.322601023246534,-1526890.922202043933794,-506.905761718750000
900.000000000000000,-355637.474884628551081,-1526923.239430509740487,-506.905761718750000
950.000000000000000,-355675.627168233855627,-1526955.556658975314349,-506.905761718750000
1000.000000000000000,-355713.779451839160174,-1526987.873887441121042,-490.571594238281307
1050.000000000000000,-355751.931735444464721,-1527020.191115906694904,-480.889892578125000
1100.000000000000000,-355790.084019049769267,-1527052.508344372268766,-480.889892578125000
1150.000000000000000,-355828.236302655073814,-1527084.825572837842628,-480.889892578125000
1200.000000000000000,-355866.388586260378361,-1527117.142801303649321,-499.509643554687500
1250.000000000000000,-355904.540869865682907,-1527149.460029769223183,-499.509643554687500
1300.000000000000000,-355942.693153470929246,-1527181.777258235029876,-490.810302734375000
1350.000000000000000,-355980.845437076233793,-1527214.094486700603738,-490.810302734375000
1400.000000000000000,-356018.997720681538340,-1527246.411715166177601,-495.784271240234375
1450.000000000000000,-356057.150004286842886,-1527278.728943631751463,-495.784271240234375
1500.000000000000000,-356095.302287892147433,-1527311.046172097558156,-495.784271240234375
1550.000000000000000,-356133.553000846004579,-1527343.243500791024417,-485.721313476562500
1600.000000000000000,-356172.683053554734215,-1527374.369679082185030,-482.211730957031250
1650.000000000000000,-356211.813106263522059,-1527405.495857372879982,-482.211730957031250
1700.000000000000000,-356250.943158972309902,-1527436.622035664273426,-482.211730957031250
1750.000000000000000,-356290.073211681097746,-1527467.748213955434039,-482.211730957031250
1800.000000000000000,-356329.203264389885589,-1527498.874392246594653,-469.476257324218750
1850.000000000000000,-356368.333317098673433,-1527530.000570537522435,-469.476257324218750
1900.000000000000000,-356407.463369807403069,-1527561.126748828683048,-469.476257324218750
1950.000000000000000,-356446.593422516132705,-1527592.252927119610831,-497.994293212890625
2000.000000000000000,-356485.723475224978756,-1527623.379105410771444,-484.110961914062500
2050.000000000000000,-356524.853527933766600,-1527654.505283701932058,-484.110961914062500
2100.000000000000000,-356563.983580642554443,-1527685.631461992859840,-484.110961914062500
2150.000000000000000,-356603.113633351342287,-1527716.757640284020454,-483.000091552734375
2200.000000000000000,-356642.243686060071923,-1527747.883818575181067,-483.000091552734375
2250.000000000000000,-356681.373738768859766,-1527779.009996866108850,-481.856414794921875
2300.000000000000000,-356720.503791477647610,-1527810.136175157269463,-481.856414794921875
2350.000000000000000,-356759.633844186435454,-1527841.262353448430076,-490.503967285156250
2400.000000000000000,-356798.763896895223297,-1527872.388531739357859,-490.503967285156250
2450.000000000000000,-356837.893949604011141,-1527903.514710030518472,-490.503967285156250
2500.000000000000000,-356877.024002312740777,-1527934.640888321679085,-489.324005126953125
2550.000000000000000,-356916.154055021586828,-1527965.767066612606868,-485.631652832031250
2600.000000000000000,-356957.023108009365387,-1527994.371753324521706,-485.631652832031250
2650.000000000000000,-357000.022326023725327,-1528019.887772805523127,-485.631652832031250
2700.000000000000000,-357043.021544038027059,-1528045.403792286757380,-475.298126220703125
2750.000000000000000,-357086.020762052386999,-1528070.919811767758802,-482.649749755859375
